Date - Time (PHT)	Latitude (°N)	Longitude (°E)	Depth of Focus (km)	Magnitude	Location	URL
25 June 2020 - 02:21 PM	05.81	125.61	027	3.1	040 km S 64° E of Malapatan (Sarangani)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0621_B2F.html
25 June 2020 - 03:07 PM	09.32	125.33	025	2.2	021 km S 84° W of Jabonga (Agusan Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0707_B2_Agusan_Del_Norte.html
25 June 2020 - 03:07 PM	18.53	122.09	015	2.2	010 km N 30° W of Santa Ana (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0707_B2_Cagayan.html
25 June 2020 - 03:20 PM	20.59	121.92	042	3.7	015 km N 21° W of Basco (Batanes)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0720_B2.html
25 June 2020 - 03:38 PM	06.89	124.8	029	2.6	005 km N 32° W of Tulunan (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0738_B2.html
25 June 2020 - 04:05 PM	06.89	124.89	025	2.3	008 km N 57° E of Tulunan (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0805_B2.html
25 June 2020 - 04:27 PM	14.13	120.43	114	2.3	022 km N 76° W of Nasugbu (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0827_B2.html
25 June 2020 - 05:50 PM	05.85	126.5	032	3.9	099 km S 88° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0950_B2.html
25 June 2020 - 05:59 PM	05.89	126.97	073	3.2	130 km S 50° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_0959_B2.html
25 June 2020 - 06:16 PM	06.04	126.5	051	2.4	082 km S 35° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1016_B2.html
25 June 2020 - 09:07 PM	06.90	124.91	016	2.6	010 km N 60° E of Tulunan (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1307_B2.html
25 June 2020 - 09:24 PM	13.66	123.36	019	2.0	015 km N 40° E of Pili (Camarines Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1324_B2.html
25 June 2020 - 09:42 PM	09.46	126.29	026	1.9	023 km N 29° E of Cortes (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1342_B2.html
25 June 2020 - 10:02 PM	17.68	120.48	024	2.7	008 km N 72° E of Santo Domingo (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1402_B2.html
25 June 2020 - 10:36 PM	08.87	126.21	028	2.9	011 km S 62° W of Cagwait (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1436_B2.html
25 June 2020 - 11:41 PM	08.74	127.25	033	2.4	109 km N 68° E of Hinatuan (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1541_B2.html
26 June 2020 - 12:41 AM	10.63	123.98	008	2.5	006 km N 39° W of Carmen (Cebu)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1641_B2.html
26 June 2020 - 12:51 AM	14.45	122.1	001	3.3	034 km S 31° E of Polillo (Quezon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1651_B2.html
26 June 2020 - 01:11 AM	08.14	123.19	034	2.7	016 km S 86° W of Dumingag (Zamboanga Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1711_B2.html
26 June 2020 - 01:34 AM	13.86	120.84	007	2.6	008 km S 70° W of Lemery (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1734_B2.html
26 June 2020 - 01:49 AM	03.76	126.11	033	3.7	198 km S 21° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1749_B2.html
26 June 2020 - 02:21 AM	15.57	121.19	023	2.4	002 km S 06° E of Laur (Nueva Ecija)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1821_B2.html
26 June 2020 - 02:34 AM	06.97	125.14	042	2.3	006 km N 79° E of Makilala (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1834_B2.html
26 June 2020 - 02:44 AM	13.51	123.21	001	2.8	009 km S 52° W of Pili (Camarines Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1844_B2.html
26 June 2020 - 02:53 AM	15.41	120.5	014	4.0	026 km S 27° E of Mayantoc (Tarlac)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_1853_B2F.html
26 June 2020 - 06:06 AM	06.43	126.46	027	3.8	049 km S 61° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0625_2206_B2.html
26 June 2020 - 09:57 AM	17.64	120.26	018	2.2	012 km N 64° W of San Vicente (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0157_B2.html
26 June 2020 - 12:06 PM	08.04	123.26	030	1.8	006 km N 13° W of Midsalip (Zamboanga Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0406_B2.html
26 June 2020 - 01:09 PM	06.55	125.72	003	2.3	019 km N 41° E of Malita (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0509_B2.html
26 June 2020 - 01:58 PM	13.17	122.5	003	2.3	020 km S 06° W of San Francisco (Aurora) (Quezon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0558_B2.html
26 June 2020 - 02:05 PM	07.19	126.92	016	4.3	041 km S 87° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0605_B2F.html
26 June 2020 - 02:10 PM	18.84	121.29	019	2.0	031 km N 11° E of Sanchez-mira (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0610_B2.html
26 June 2020 - 02:33 PM	09.72	126.17	032	1.7	007 km S 16° E of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0633_B2.html
26 June 2020 - 02:35 PM	07.24	126.99	025	3.3	050 km N 86° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0635_B2F.html
26 June 2020 - 02:47 PM	07.18	126.72	011	3.5	020 km S 78° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0647_B2.html
26 June 2020 - 03:01 PM	17.32	120.37	021	2.4	016 km N 30° W of Candon City (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0701_B2.html
26 June 2020 - 04:04 PM	21.09	122	006	3.5	036 km N 27° E of Itbayat (Batanes)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0804_B2.html
26 June 2020 - 04:40 PM	06.46	125.15	022	2.1	023 km S 19° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0840_B2.html
26 June 2020 - 05:41 PM	13.45	120.71	105	2.4	002 km N 76° W of Abra De Ilog (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_0941_B2.html
26 June 2020 - 06:27 PM	18.80	121.44	004	1.9	034 km N 40° E of Sanchez-mira (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1027_B2.html
26 June 2020 - 06:34 PM	07.89	125.25	007	2.3	017 km S 82° E of Valencia City (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1034_B2.html
26 June 2020 - 06:53 PM	09.82	122.47	014	2.6	009 km N 47° E of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1053_B2.html
26 June 2020 - 07:03 PM	13.20	120.46	001	2.6	015 km S 77° W of Mamburao (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1103_B2_Occidental_Mindoro.html
26 June 2020 - 07:03 PM	09.72	122.39	020	2.9	004 km S 26° W of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1103_B2_Negros_Occidental.html
26 June 2020 - 07:13 PM	05.99	125.77	114	2.0	021 km N 54° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1113_B2.html
26 June 2020 - 07:54 PM	19.11	121.19	029	5.4	034 km S 57° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1154_B4F.html
26 June 2020 - 08:17 PM	09.34	126.1	009	3.2	013 km N 56° W of Cortes (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1217_B2.html
26 June 2020 - 08:24 PM	19.16	121.25	022	2.4	026 km S 59° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1224_B2.html
26 June 2020 - 09:07 PM	19.07	121.22	030	2.4	034 km S 47° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1307_B2.html
26 June 2020 - 09:21 PM	19.10	121.27	018	3.0	028 km S 46° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1321_B2.html
26 June 2020 - 09:42 PM	19.13	121.19	023	2.8	033 km S 60° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1342_B2.html
26 June 2020 - 09:43 PM	13.67	120.51	051	2.1	022 km S 38° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1343_B2.html
26 June 2020 - 10:34 PM	09.81	122.41	016	2.3	006 km N 01° E of Sipalay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1434_B2.html
26 June 2020 - 10:56 PM	09.37	126.01	112	3.4	006 km N 87° E of Carrascal (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1456_B2.html
26 June 2020 - 11:01 PM	19.03	121.49	026	2.6	028 km S 05° E of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1501_B2.html
26 June 2020 - 11:03 PM	18.97	121.49	018	2.8	035 km S 04° E of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1503_B2.html
26 June 2020 - 11:39 PM	17.87	119.56	033	2.9	090 km N 69° W of Santa Catalina (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1539_B2.html
26 June 2020 - 11:57 PM	05.57	126.91	036	3.6	147 km S 76° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1557_B2.html
27 June 2020 - 12:21 AM	18.55	120.99	019	2.8	012 km S 54° W of Claveria (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1621_B2.html
27 June 2020 - 12:56 AM	19.22	121.51	017	2.7	009 km S 35° E of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1656_B2.html
27 June 2020 - 01:13 AM	12.44	124.59	026	1.9	008 km S 38° W of Catarman (Northern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1713_B2.html
27 June 2020 - 02:01 AM	20.04	120.48	023	2.8	132 km N 51° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1801_B2.html
27 June 2020 - 02:13 AM	09.78	126.12	028	1.6	004 km S 81° W of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1813_B2.html
27 June 2020 - 02:36 AM	09.28	126.28	026	1.4	009 km N 85° E of Cortes (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1836_B2_Surigao.html
27 June 2020 - 02:36 AM	07.01	126.98	017	4.4	054 km S 65° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1836_B2_Davao.html
27 June 2020 - 03:04 AM	12.09	120.68	031	3.1	051 km S 38° W of Rizal (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1904_B2.html
27 June 2020 - 03:14 AM	06.69	126.06	030	2.1	004 km N 16° W of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1914_B2.html
27 June 2020 - 03:15 AM	07.23	126.99	029	3.4	050 km N 88° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1915_B2.html
27 June 2020 - 03:46 AM	07.21	127.01	024	3.4	052 km S 89° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_1946_B2.html
27 June 2020 - 04:00 AM	07.35	126.75	014	2.7	028 km N 56° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2000_B2.html
27 June 2020 - 04:01 AM	18.60	121.09	050	2.1	002 km S 38° E of Claveria (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2001_B2.html
27 June 2020 - 04:17 AM	11.32	125.84	001	2.5	024 km S 88° E of Hernani (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2017_B2.html
27 June 2020 - 04:40 AM	06.02	126.3	120	4.2	077 km N 79° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2040_B2.html
27 June 2020 - 04:52 AM	10.16	125.02	001	2.1	002 km N 76° E of Malitbog (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2052_B2.html
27 June 2020 - 05:23 AM	07.68	126.82	051	1.7	031 km N 68° E of Baganga (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2123_B2.html
27 June 2020 - 06:37 AM	09.98	126.09	033	1.6	004 km S 24° E of Burgos (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2237_B2.html
27 June 2020 - 07:10 AM	19.99	122.24	017	2.9	051 km S 38° E of Uyugan (Batanes)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0626_2310_B2.html
27 June 2020 - 08:57 AM	18.21	120.65	040	1.7	007 km N 77° E of Laoag City	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0057_B2.html
27 June 2020 - 09:18 AM	07.27	127.06	057	2.8	058 km N 84° E of Manay (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0118_B2.html
27 June 2020 - 09:40 AM	08.41	126.29	030	2.1	007 km N 47° W of Hinatuan (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0140_B2.html
27 June 2020 - 10:30 AM	08.42	125.71	060	2.0	008 km S 69° W of Talacogon (Agusan Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0230_B2.html
27 June 2020 - 11:35 AM	05.68	125.43	019	3.0	028 km N 10° W of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0335_B2.html
27 June 2020 - 12:12 PM	05.78	126.09	141	2.4	054 km S 78° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0412_B2.html
27 June 2020 - 01:15 PM	10.02	125.8	015	2.6	017 km N 52° E of Cagdiano (Dinagat Islands)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0515_B2.html
27 June 2020 - 01:24 PM	05.42	124.14	017	3.4	084 km S 40° W of Kiamba (Sarangani)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0524_B1.html
27 June 2020 - 02:38 PM	05.67	126.35	006	2.3	083 km S 75° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0638_B1.html
27 June 2020 - 03:00 PM	06.09	126.04	132	2.6	052 km N 64° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0700_B2.html
27 June 2020 - 03:21 PM	17.80	120.41	024	2.9	008 km N 84° W of Cabugao (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0721_B2.html
27 June 2020 - 03:58 PM	10.05	126.36	015	2.2	032 km N 84° E of Burgos (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0758_B2.html
27 June 2020 - 03:59 PM	09.87	125.98	022	2.0	001 km N 82° E of Del Carmen (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0759_B2.html
27 June 2020 - 04:59 PM	10.20	126.66	005	2.5	066 km N 73° E of Burgos (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0859_B2.html
27 June 2020 - 05:06 PM	05.76	126.86	034	2.6	139 km S 84° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_0906_B2.html
27 June 2020 - 06:42 PM	04.48	127.53	010	3.1	251 km S 65° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1042_B2.html
27 June 2020 - 07:08 PM	18.99	121.32	011	2.3	036 km S 25° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1108_B2.html
27 June 2020 - 07:10 PM	05.67	125.36	001	3.0	029 km N 24° W of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1110_B2.html
27 June 2020 - 07:22 PM	05.29	126.19	002	2.7	081 km S 79° E of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1122_B2.html
27 June 2020 - 07:51 PM	06.86	124.84	034	1.7	002 km N 57° E of Tulunan (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1151_B2.html
27 June 2020 - 08:29 PM	10.17	125.26	022	2.1	011 km S 03° E of Anahawan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1229_B2.html
27 June 2020 - 08:54 PM	08.74	126.04	033	2.0	013 km N 28° W of Lianga (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1254_B2.html
27 June 2020 - 09:42 PM	18.16	122.12	064	1.7	027 km S 80° E of Gonzaga (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1342_B2.html
27 June 2020 - 09:57 PM	08.49	126.61	010	3.6	033 km N 66° E of Hinatuan (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1357_B2.html
27 June 2020 - 10:10 PM	13.82	119.86	005	2.4	029 km S 82° W of Lubang (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1410_B2.html
27 June 2020 - 10:11 PM	13.96	119.91	001	1.9	026 km N 63° W of Lubang (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1411_B2.html
27 June 2020 - 10:49 PM	18.29	120.84	024	2.5	011 km N 18° W of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1449_B2.html
27 June 2020 - 11:09 PM	17.78	120.32	051	2.4	014 km N 47° W of Magsingal (Ilocos Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1509_B2.html
28 June 2020 - 12:17 AM	06.54	126.34	039	2.9	031 km S 67° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1617_B2.html
28 June 2020 - 12:37 AM	10.54	125.28	005	3.3	014 km N 84° E of Silago (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1637_B2F.html
28 June 2020 - 12:39 AM	18.99	121.33	007	2.1	035 km S 24° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1639_B2.html
28 June 2020 - 12:49 AM	19.16	121.25	029	1.7	026 km S 60° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1649_B2.html
28 June 2020 - 12:55 AM	12.21	124.51	030	1.5	035 km S 24° W of Catarman (Northern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1655_B2.html
28 June 2020 - 01:23 AM	17.04	119.9	031	2.2	055 km N 68° W of Luna (La Union)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1723_B2.html
28 June 2020 - 01:25 AM	18.38	122.67	018	2.8	057 km S 82° E of Santa Ana (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1725_B2.html
28 June 2020 - 01:30 AM	11.11	123.75	018	2.9	023 km S 83° W of Medellin (Cebu)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1730_B2.html
28 June 2020 - 01:44 AM	15.42	119.86	023	2.0	005 km S 76° W of Palauig (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1744_B2.html
28 June 2020 - 02:07 AM	15.38	120.49	144	3.4	013 km N 40° W of Bamban (Tarlac)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1807_B2.html
28 June 2020 - 02:16 AM	10.56	125.28	009	2.5	014 km N 76° E of Silago (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1816_B2.html
28 June 2020 - 02:47 AM	17.51	122.72	002	2.5	048 km N 67° E of Divilacan (Isabela)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_1847_B2.html
28 June 2020 - 05:21 AM	06.37	126.4	077	2.4	047 km S 50° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_2121_B2.html
28 June 2020 - 05:49 AM	06.29	126.8	033	2.3	090 km S 63° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_2149_B2.html
28 June 2020 - 06:07 AM	16.49	121.3	096	2.0	007 km S 61° E of Quezon (Nueva Vizcaya)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_2207_B2.html
28 June 2020 - 06:30 AM	06.62	125.23	006	2.3	004 km S 29° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_2230_B2.html
28 June 2020 - 06:43 AM	17.48	122.7	003	2.2	045 km N 69° E of Divilacan (Isabela)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0627_2243_B2.html
28 June 2020 - 08:32 AM	07.67	126.59	034	4.1	011 km N 17° E of Baganga (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0032_B3F.html
28 June 2020 - 09:07 AM	06.20	126.42	099	2.0	063 km S 38° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0107_B2_Davao_Oriental.html
28 June 2020 - 09:07 AM	10.98	121.69	012	2.8	033 km N 62° W of Belison (Antique)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0107_B2_Antique.html
28 June 2020 - 10:27 AM	08.13	126.79	027	2.4	042 km N 74° E of Lingig (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0227_B2.html
28 June 2020 - 12:28 PM	05.81	126.07	025	2.5	051 km S 81° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0428_B2.html
28 June 2020 - 12:44 PM	07.90	126.29	005	2.4	022 km N 56° W of Cateel (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0444_B2_Davao_Oriental.html
28 June 2020 - 12:44 PM	11.29	124.6	018	2.0	005 km S 81° W of Capoocan (Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0444_B2_Leyte.html
28 June 2020 - 01:20 PM	11.97	124.7	130	2.9	015 km S 46° E of Calbayog City (Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0520_B2.html
28 June 2020 - 01:42 PM	06.49	125.16	023	2.5	019 km S 18° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0542_B2.html
28 June 2020 - 01:46 PM	06.47	125.07	028	2.4	016 km S 55° E of Lutayan (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0546_B2.html
28 June 2020 - 01:47 PM	06.48	125.03	032	2.4	011 km S 46° E of Lutayan (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/June/2020_0628_0547_B2.html
